Day,Weekday,🌼 Good Habit Tracking,Effectiveness,📛 Bad Habit Tracking,Productivity,Morning Exercise,Evaluation After Each Task,Meditation,Reading,Code Practice,Night Exercise,Night Reflection,Personal Project,Wake Up Time,Sleep Time,Nap Hours,Total Sleep Hours,Browsing Social Media Times,"Eating Quality (1 - poor, 5 - good)",💰 Money Spend,Good parts - achievement,Week,Date,Good Habit Tracking Calculation,Assumptions To Chellenge,Finished Todos (Fixed Number),Habit,Today Todos,Bad parts - to Improve,Total Todos,Weight,Effectiveness Ref,Finished Todos Rollup (Changes over time),Sleep Quality
Aug 28,Saturday,░░░ 38%,█████ 54%,🔵🔵⚪️⚪️⚪️⚫️⚪️⚪️,🧭 Reset Day,No,No,Yes,No,No,Yes,Yes,No,11.5,1.5,0,10,,,,,Week 34 (https://www.notion.so/Week-34-b60f009b8a514597a403efbc9c68bb72?pvs=21),"August 28, 2021",0.375,✅ Can I become better at data visualisation design?,7,✅ Leave computer by 11 am,"3 - Calligraphy (https://www.notion.so/3-Calligraphy-07eab380081b41cb8c149e0723848db8?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-8cbbff01f77e475bb00df318a34667b7?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-721ed19dd0234e4aa61ea816e7c724b7?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-ccb0d9c32778489d81b09e25e57fcf35?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-9a1d0af5abb24eb9ad7a3018787416e9?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-56ddfe9fed9e4b94b2cf17e99cae55af?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-7eef33a312d74cb0b66fcc1d2b66b778?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-f3eac0a2fd584430aa4dca9e3cf0a94d?pvs=21), Research and play with Mendix platform (https://www.notion.so/Research-and-play-with-Mendix-platform-9a1cb695a97e432ca601f61a33f3159a?pvs=21), Weekly Review - 34 (https://www.notion.so/Weekly-Review-34-86e9590c29414e2997798d79fd834aa3?pvs=21), Reading materials → Knowledge Lab (https://www.notion.so/Reading-materials-Knowledge-Lab-2d44e9095c55455096eab43cb7830889?pvs=21), To have XD wireframe - XD UI library - Quasar Component Library - Functional requirement list and Service all works together, potentially backend (https://www.notion.so/To-have-XD-wireframe-XD-UI-library-Quasar-Component-Library-Functional-requirement-list-and-Se-534f70976ce34d02a37dee9afea8aa76?pvs=21), Housework (https://www.notion.so/Housework-5d5e80ab266e438d9ed4190d4b1892ef?pvs=21)",Morning wake up too late,13,,0.538461538462,10,
Aug 27,Friday," 0%",██ 23%,🔵⚪️⚪️⚪️⚪️⚫️⚪️🔴,❌ Not Productive,No,No,No,No,No,No,No,No,8.75,1.5,0,7.25,,,,First complete hubspot component.,Week 34 (https://www.notion.so/Week-34-b60f009b8a514597a403efbc9c68bb72?pvs=21),"August 27, 2021",0,✅ Can I become better at data visualisation design?,3,✅ Leave computer by 11 am,"2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-48aab9a709124f619d356bd89ad49c04?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-c9b43641138d42799982202a7c1c649d?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-985056c0c5bb4ea792046e47f61ba20e?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-34bb5c8342504e7dad1ac07cf0ccfa2c?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-b72680874bfa490599780719b096c299?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-0b5412f190c549e3a46bde950f371b05?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-d3f0b4342036450eb5b3527f447e52f2?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-81bf5352ec49475fa1225558179c17cb?pvs=21), Asyncapi display logic and side link menu bug fix (https://www.notion.so/Asyncapi-display-logic-and-side-link-menu-bug-fix-8a52a22eda3844e5b9cf3a2af6e77878?pvs=21), Banner component with animated quote (https://www.notion.so/Banner-component-with-animated-quote-955df32d01684ffc859c034fceb847ce?pvs=21), Owner Specific Documentation for Platform APIs (https://www.notion.so/Owner-Specific-Documentation-for-Platform-APIs-3b1f4f7f52064f698cf18b7cbaa14834?pvs=21), Reading materials → Knowledge Lab (https://www.notion.so/Reading-materials-Knowledge-Lab-2d44e9095c55455096eab43cb7830889?pvs=21), Research on Chrome extension development, prepare necessary steps and timeline required (https://www.notion.so/Research-on-Chrome-extension-development-prepare-necessary-steps-and-timeline-required-5b8f4b8a3ff94c299616e435b029d84d?pvs=21)","Bad sleep time management, watched too much youtube video",13,,0.230769230769,5,Good
Aug 26,Thursday,░░░ 38%,██████ 69%,⚪️⚪️⚪️⚪️⚪️⚫️⚪️⚪️,❌ Not Productive,Yes,No,Yes,No,No,Yes,No,No,7.25,1.45,0,5.8,,,,Achievement - fist patent application,Week 34 (https://www.notion.so/Week-34-b60f009b8a514597a403efbc9c68bb72?pvs=21),"August 26, 2021",0.375,✅ Can I become better at data visualisation design?,9,✅ Leave computer by 11 am,"2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-150ebe5cebf84acd961d27febb3a485a?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-a1a148acfa2a482fbdc01cd9ed3e2a0d?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-cb8b5de80417406cb49b6afc94e58308?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-c22f7cb22e5846c8ba8f8e4a89343b7a?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-e0125d6236e54a978a4a5b3a27b5a8e8?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-7de1431003044e2caae0ebb2f32060ec?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-ca83974d4106474ca042f69d89938ad6?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-134681d47d8c423a85f677c7c4892173?pvs=21), Enable Documentation for websocket (re-design UI) (https://www.notion.so/Enable-Documentation-for-websocket-re-design-UI-02c4b60235d4491d8489ffc84c424b87?pvs=21), IHI Style Design Part 2 - Colors fonts and button styles (https://www.notion.so/IHI-Style-Design-Part-2-Colors-fonts-and-button-styles-c2bef13b46624935ac25b998b7052521?pvs=21), List of UI components for ScribeRabbit (https://www.notion.so/List-of-UI-components-for-ScribeRabbit-98779fe33efe43adad6629aaba4a5e20?pvs=21), Research on 100 principles (https://www.notion.so/Research-on-100-principles-079f5272e8064391af0627f94edb3997?pvs=21), Research on Chrome extension development, prepare necessary steps and timeline required (https://www.notion.so/Research-on-Chrome-extension-development-prepare-necessary-steps-and-timeline-required-5b8f4b8a3ff94c299616e435b029d84d?pvs=21)","Played game, bas usage of time",13,,0.692307692308,9,
Aug 25,Wednesday,░░░░░ 50%,██████ 67%,🔵⚪️⚪️⚪️🟣⚫️⚪️⚪️,🚀 Productive,Yes,No,Yes,No,Yes,No,Yes,No,8.5,2,2,8.5,,,40,Improvement in dashboard design skills. A good restart in the new process,Week 34 (https://www.notion.so/Week-34-b60f009b8a514597a403efbc9c68bb72?pvs=21),"August 25, 2021",0.5,✅ Can I become better at data visualisation design?,8,✅ Leave computer by 11 am,"3 - Calligraphy (https://www.notion.so/3-Calligraphy-ee4f20cf2b57415f95bdfb8cb3d3a493?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-b61ed32fe0374f89922a7822d05a4f3c?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-c9ced0c39beb45af80e994eaef82e149?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-5b92ce11ad174131b0896e1c9aae1fb7?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-f1c16c650c0d4655b1e23dd9c3301333?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-d30d783bb19e4a68920562e7b561fb21?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-c6c29417165441d0a939ce4be4d4877f?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-5d2052c6ad564edb8d04e53a91f059d0?pvs=21), Enable Documentation for websocket (re-design UI) (https://www.notion.so/Enable-Documentation-for-websocket-re-design-UI-02c4b60235d4491d8489ffc84c424b87?pvs=21), IHI Style Design Part 1 - Charts and data display components. List out generic components (https://www.notion.so/IHI-Style-Design-Part-1-Charts-and-data-display-components-List-out-generic-components-f7b8965032b748b98712abdaf9000feb?pvs=21), To have XD wireframe - XD UI library - Quasar Component Library - Functional requirement list and Service all works together, potentially backend (https://www.notion.so/To-have-XD-wireframe-XD-UI-library-Quasar-Component-Library-Functional-requirement-list-and-Se-534f70976ce34d02a37dee9afea8aa76?pvs=21), To research on Rapid API and Alogirathmia API error response  (https://www.notion.so/To-research-on-Rapid-API-and-Alogirathmia-API-error-response-683ab4645d314951aeb567414669e178?pvs=21)","After eat heavy dinner, lost night time management, sleep from 8 to 11 and, from 11 to 1.5 did nothing. Bad time control",12,,0.666666666667,10,Good
Aug 24,Tuesday,░░░░░░░░ 88%,███████ 71%,⚪️⚪️⚪️⚪️⚪️⚫️⚫️⚪️,🔥 Very Productive,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,6.25,2.5,0,3.75,,,40,Progress in multiple projects,Week 34 (https://www.notion.so/Week-34-b60f009b8a514597a403efbc9c68bb72?pvs=21),"August 24, 2021",0.875,✅ Can I become better at data visualisation design?,10,✅ Leave computer by 11 am,"2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-2be371bc2d51411491817fdd57d65b95?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-1fa4f51fe01b4c5aad43cd1fd16698da?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-7c70971ddf144f2cabe7acd941b81fe8?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-d1dc15ec4bc34b42956fb845f128de1a?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-212658054ffb4f0192ce3b78f17cf1b9?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-9f687cd112204e06a8d4f793f5124086?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-47b3236148af4416ac222a72ffd0106d?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-e40e41596c884a8580d61d970fc1545e?pvs=21), [Platform] Producer and Source fields for ALL Apis (https://www.notion.so/Platform-Producer-and-Source-fields-for-ALL-Apis-3b4ce6a44a8b444193cdf2b001980c0e?pvs=21), List of UI components for ScribeRabbit (https://www.notion.so/List-of-UI-components-for-ScribeRabbit-98779fe33efe43adad6629aaba4a5e20?pvs=21), Error handling UI (https://www.notion.so/Error-handling-UI-0c40d82986944bb9b57653919fbfdb31?pvs=21), Uploader component Documentation Page design (https://www.notion.so/Uploader-component-Documentation-Page-design-856f22d70f5b4fd4b1205379c38db42a?pvs=21), Welcome email template (https://www.notion.so/Welcome-email-template-9ef01ae6577446f48183a1c339396272?pvs=21), Competitor Research and Analyse (https://www.notion.so/Competitor-Research-and-Analyse-7437932e4aa94ef4af35781973803dc2?pvs=21)","Night time management, watching video for too long",14,,0.714285714286,12,
Aug 23,Monday,░░░░░░░ 75%,█████ 54%,⚪️⚪️⚪️⚪️🟣⚪️⚪️⚪️,🚀 Productive,Yes,Yes,Yes,Yes,No,Yes,Yes,No,6.25,1,1.5,6.75,,,64,"Turning mindset, feeling less guilty about my design skills",Week 34 (https://www.notion.so/Week-34-b60f009b8a514597a403efbc9c68bb72?pvs=21),"August 23, 2021",0.75,✅ Can I become better at data visualisation design?,7,✅ Leave computer by 11 am,"3 - Calligraphy (https://www.notion.so/3-Calligraphy-632d840b34c04eaf8341ba4d90533a22?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-292423d9e3444d689aba75602ef2ea82?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-3d7659a193674bd990b041efb6baf4b8?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-890c28b0d98543c6a26bd1b0bd992d86?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-dffc5e51c0364982aff8c67735623fdc?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-f170b9f2a87c4f129c7b05963791fd3a?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-310331877fb24e959a64758fd35ce5b8?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-4af8cc58ac8045abb41e843713289619?pvs=21), [IHI] Research On Big Data Visualisation Platform Design Part 2 (https://www.notion.so/IHI-Research-On-Big-Data-Visualisation-Platform-Design-Part-2-1f2f6bd4d49946d5803e5a75189c7c10?pvs=21), IHI Style Design Part 1 - Charts and data display components. List out generic components (https://www.notion.so/IHI-Style-Design-Part-1-Charts-and-data-display-components-List-out-generic-components-f7b8965032b748b98712abdaf9000feb?pvs=21), Reading materials → Knowledge Lab (https://www.notion.so/Reading-materials-Knowledge-Lab-1da26fe3acf74071a17e220aa0c789b0?pvs=21), Receive user input and save to stateManager.js file (https://www.notion.so/Receive-user-input-and-save-to-stateManager-js-file-36b162490c4e4686a5eb846afc6666fa?pvs=21), Competitor Research and Analyse (https://www.notion.so/Competitor-Research-and-Analyse-7437932e4aa94ef4af35781973803dc2?pvs=21)","Night time lost control, watches video for too long",13,,0.538461538462,9,Good
Aug 22,Sunday,░░░░░░░░░░ 100%,█████████ 91%,⚪️⚪️⚪️⚪️🟣⚪️⚪️⚪️,🔥 Very Productive,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,1.5,1.5,,,100,Started good exercise routine,Week 33 (https://www.notion.so/Week-33-dbc0f004b1e348a286f61bb742be2845?pvs=21),"August 22, 2021",1,❌ Can I grain more knowledge from each activity I had done?,10,"❌ Leave computer by 11pm, on bed by 12am","3 - Calligraphy (https://www.notion.so/3-Calligraphy-3637ab1f4942459a9216611cc6fafb6f?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-9937fd5819444b129823c891209d85ff?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-2f4c7da9db6349ba96eee92de6b85ecf?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-8cf48e835e4c4b2aab5cf59ea3761ca2?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-c2a260d246dd47219f13f6ce56f81105?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-a886e261c679418abc4aee10269f13c6?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-c30d3feff79a40bba0db6348abd537df?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-896bb5f6a0db4837baac1acfd9691c18?pvs=21), Document Uploader component document page (https://www.notion.so/Document-Uploader-component-document-page-e3f690dfa7074f7c8bc7b5d9f82b6fc5?pvs=21), HDB dashboard landing page to add to profile (https://www.notion.so/HDB-dashboard-landing-page-to-add-to-profile-8db0456d34f741da935e553c7c9ddd0a?pvs=21), Reading materials → Knowledge Lab (https://www.notion.so/Reading-materials-Knowledge-Lab-1da26fe3acf74071a17e220aa0c789b0?pvs=21)",,11,,0.909090909091,11,Good
Aug 21,Saturday,░░ 25%,████ 42%,⚪️⚪️⚪️⚪️🟣⚫️⚪️⚪️,🧭 Reset Day,Yes,No,No,No,No,No,Yes,No,7,1.75,2,7.25,,,14,"Finished housework, re-starting morning exercise",Week 33 (https://www.notion.so/Week-33-dbc0f004b1e348a286f61bb742be2845?pvs=21),"August 21, 2021",0.25,❌ Can I grain more knowledge from each activity I had done?,5,"❌ Leave computer by 11pm, on bed by 12am","2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-a6a24c0f9a674ae29b766ef905f3d0e5?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-dddf141bf08a4c0a984d58ee8f05b0a3?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-aa6bcae5d68d4b42b3882b0da3415cd4?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-229c6931d2604c37a17c4a1e731c9fb0?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-9e76fbae584d4b13b8e1050058c2ea46?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-82d611e7dfa34fbd9bdde6dd7796c18e?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-8f941bd563424d6087bd08c51108ebb2?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-8c3ee62323f44a3a97fd06b19e286592?pvs=21), Housework (https://www.notion.so/Housework-ab68417466ed4cc5afb7c1a87206ccc1?pvs=21), Weekly Review - 33 (https://www.notion.so/Weekly-Review-33-13e61d79d47e43a2a3f9265daeb4f954?pvs=21), Document Uploader component document page (https://www.notion.so/Document-Uploader-component-document-page-e3f690dfa7074f7c8bc7b5d9f82b6fc5?pvs=21), Reading materials → Knowledge Lab (https://www.notion.so/Reading-materials-Knowledge-Lab-1da26fe3acf74071a17e220aa0c789b0?pvs=21)",Sleep after morning exercise till noon,12,,0.416666666667,7,Good
Aug 20,Friday,░░░░░░░ 75%,███████ 71%,🔵⚪️⚪️⚪️⚪️⚫️⚪️⚪️,🚀 Productive,Yes,No,Yes,Yes,No,Yes,Yes,Yes,8.5,2,0,6.5,,3.5,110,"Mind set change, accept myself, manage myself, and improve on it",Week 33 (https://www.notion.so/Week-33-dbc0f004b1e348a286f61bb742be2845?pvs=21),"August 20, 2021",0.75,❌ Can I grain more knowledge from each activity I had done?,10,"❌ Leave computer by 11pm, on bed by 12am","2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-3a425f7c0aeb4ac8b133cc0f1cdbacb1?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-34f25137f9e44464a00861eb4684476f?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-ec8e60b58de44a72a2d0a8fe6689c388?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-4746d0d845be48ffad0d11a3cf25df23?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-a6a17ae5ef0c48028b8bba02e8323f74?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-479e9a3d1a484805a0aa8e0253736af5?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-1eeed1ed5de2413791c799aebc71a89e?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-9cdca4a5878a434891e9cce0d0b68652?pvs=21), Hubspot website dependency structure  - Charts (https://www.notion.so/Hubspot-website-dependency-structure-Charts-cedb5fc1184142d486c120d6344eb064?pvs=21), Reading materials → Knowledge Lab (https://www.notion.so/Reading-materials-Knowledge-Lab-a2b9154c151c44c48c67b4f28078c2e7?pvs=21), Clean up Sentient.io Marketing Project Space (https://www.notion.so/Clean-up-Sentient-io-Marketing-Project-Space-5f659cd780854ddd9d98af11d1b9e9b9?pvs=21), [IHI] Lidar UI Mockup Part 1 (https://www.notion.so/IHI-Lidar-UI-Mockup-Part-1-5916f729190c4cf689a93b2815ff6d68?pvs=21), [IHI] LiDar UI Mockup Part 2 (https://www.notion.so/IHI-LiDar-UI-Mockup-Part-2-a7db77d99e5d4669a31447f63e7c71c7?pvs=21), [IHI] LiDar UI Mockup Part 3 (https://www.notion.so/IHI-LiDar-UI-Mockup-Part-3-9ccc8ff295784182a2b5927a7cd17a48?pvs=21)","Negative thinking when facing critical feedbacks. ",14,,0.714285714286,13,Good
Aug 19,Thursday,░░░░░ 50%,████ 46%,🔵⚪️⚪️⚪️⚪️⚫️⚫️⚪️,🚀 Productive,Yes,No,Yes,Yes,Yes,No,No,No,8.5,2.5,0,6,,,,"Improvement, better understanding of HubSpot structure",Week 33 (https://www.notion.so/Week-33-dbc0f004b1e348a286f61bb742be2845?pvs=21),"August 19, 2021",0.5,❌ Can I grain more knowledge from each activity I had done?,6,"❌ Leave computer by 11pm, on bed by 12am","2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-c9ac47e0b20c43e2b8230a434283ac28?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-52dd919e70f24260b4a690e698ccfffb?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-69feb02bc504409dbab299c7f8647884?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-8ba54205555540c391e69e7ea88adaa7?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-d2f8a2f8552240d6a0a847f82c69faec?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-a9be272a23054aa08416bf1d2c8a05f6?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-9dcddb36fbce4854b5883e3034166d6f?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-dec65ba18f1a4f94a5b9d1df04ae3536?pvs=21), [Marketing] - Make website logo displaying area consistent (https://www.notion.so/Marketing-Make-website-logo-displaying-area-consistent-f15b070477c4474bb7f5ab58f3369f6a?pvs=21), Hubspot website dependency structure  - Charts (https://www.notion.so/Hubspot-website-dependency-structure-Charts-cedb5fc1184142d486c120d6344eb064?pvs=21), Document Uploader component document page (https://www.notion.so/Document-Uploader-component-document-page-e3f690dfa7074f7c8bc7b5d9f82b6fc5?pvs=21), New Navigation Index.yaml and logic (https://www.notion.so/New-Navigation-Index-yaml-and-logic-3563965571e64f2b9164c6c4dc8c5bbb?pvs=21), To research on Rapid API and Alogirathmia API error response  (https://www.notion.so/To-research-on-Rapid-API-and-Alogirathmia-API-error-response-683ab4645d314951aeb567414669e178?pvs=21)",Sleep after dinner. Bad sleep cycle,13,,0.461538461538,8,Good
Aug 18,Wednesday,░░░░░░ 63%,██████ 62%,🔵🔵⚪️⚪️🟣⚪️⚪️⚪️,🔥 Very Productive,Yes,No,Yes,Yes,No,Yes,No,Yes,9,1,1.5,9.5,,,40,Lived beta version of API try it out,Week 33 (https://www.notion.so/Week-33-dbc0f004b1e348a286f61bb742be2845?pvs=21),"August 18, 2021",0.625,❌ Can I grain more knowledge from each activity I had done?,8,"❌ Leave computer by 11pm, on bed by 12am","2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-0aa52040cec446528af618a2332d69ed?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-f1bb25c3dac6423ea810f28565a8be76?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-35738b4e83214a8685594897d26c5537?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-3b45dab0423a4804b3fc68f1c80a8d59?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-a9e2582c7fda4e07adf4552060d2fa53?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-9e5f554901f94e10ae53332eab9c1a5f?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-5914fedebb8945ad815cde9d814056f0?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-6cf240df81234928a9a78194d24d1476?pvs=21), Embed Try It Out to API doc v4.2 (https://www.notion.so/Embed-Try-It-Out-to-API-doc-v4-2-24c92fd71e3141ceb35f04b8db24ab66?pvs=21), Research on 100 principles (https://www.notion.so/Research-on-100-principles-539c5aaa038d4dc08fa36b54df7e48c2?pvs=21), Document and Plan for embedding quasar component in to Vuetify (https://www.notion.so/Document-and-Plan-for-embedding-quasar-component-in-to-Vuetify-d1ff06e6e431448a993e7dd40ab6ed56?pvs=21), Competitor Research and Analyse (https://www.notion.so/Competitor-Research-and-Analyse-7437932e4aa94ef4af35781973803dc2?pvs=21), Document Uploader component document page (https://www.notion.so/Document-Uploader-component-document-page-4c019e682f6940cf918c854421dc0096?pvs=21)",Over worked at night. Attached with a problem for too long,13,,0.615384615385,9,Good
Aug 17,Tuesday,░░░░░░ 63%,█████ 50%,⚪️⚪️⚪️⚪️🟣⚫️⚪️⚪️,🚀 Productive,Yes,No,Yes,Yes,No,Yes,Yes,No,7,1.5,1.5,7,,,46,Finished all planned company tasks,Week 33 (https://www.notion.so/Week-33-dbc0f004b1e348a286f61bb742be2845?pvs=21),"August 17, 2021",0.625,❌ Can I grain more knowledge from each activity I had done?,6,"❌ Leave computer by 11pm, on bed by 12am","2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-0718f99bed5e4e578c4a6fd7c8b588d0?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-301e2defccce427f86c0057e11f4df90?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-be73d1ab30144cb3b49b59b8ee28a98d?pvs=21), 8 - Record 1 inspiration (https://www.notion.so/8-Record-1-inspiration-36e0b98d113b4f0b8e8c2f9c1bd8c60b?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-0a7f64c177fd4adc9ba13678a021af48?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-045d8117d38447ef8543e2043981c267?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-6c808aafcd98459c8cfd8db44d0a8694?pvs=21), 1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-fe646f23b3a54db1a0e27ee721c30efb?pvs=21), IHI Traffic Insights Dashboard Wireframe - Part 3 - Report page (https://www.notion.so/IHI-Traffic-Insights-Dashboard-Wireframe-Part-3-Report-page-dfa168278efa47629cd836e3a6edfb87?pvs=21), Document and Plan for embedding quasar component in to Vuetify (https://www.notion.so/Document-and-Plan-for-embedding-quasar-component-in-to-Vuetify-d1ff06e6e431448a993e7dd40ab6ed56?pvs=21), Document Uploader component document page (https://www.notion.so/Document-Uploader-component-document-page-4c019e682f6940cf918c854421dc0096?pvs=21), To research on Rapid API and Alogirathmia API error response  (https://www.notion.so/To-research-on-Rapid-API-and-Alogirathmia-API-error-response-683ab4645d314951aeb567414669e178?pvs=21)",Bad sleeping habit ...,12,111.2,0.5,8,Good
